fecha,producto_id,producto_nombre,categoria,region_bodega,inventario_inicial,inventario_final,costo_unitario,unidades_vendidas,unidades_compradas,unidades_devueltas
2023-07-01,P007,Harina Sin Polvos,Alimentos,Centro,215,182,1500,35,2,0
2023-07-01,P008,Polera Algodon M,Textil,Norte,173,148,12000,27,2,0
2023-07-01,P009,Pantalon Jean 32,Textil,Norte,148,126,28000,23,1,0
2023-07-01,P010,Zapatilla Running,Textil,Sur,118,95,45000,24,1,0
2023-08-01,P001,Laptop ProBook,Electronica,Norte,25,5,450000,22,2,0
2023-08-01,P002,Monitor 24",Electronica,Norte,22,5,180000,19,2,0
2023-08-01,P003,Teclado Inalambrico,Electronica,Centro,18,0,35000,20,50,2
2023-08-01,P004,Mouse Optico,Electronica,Centro,98,62,18000,38,2,0
2023-08-01,P005,Arroz Grano Largo,Alimentos,Sur,205,158,1200,52,5,0
2023-08-01,P006,Aceite Vegetal 1L,Alimentos,Sur,95,65,2800,32,2,0
2023-08-01,P007,Harina Sin Polvos,Alimentos,Centro,182,150,1500,34,2,0
2023-08-01,P008,Polera Algodon M,Textil,Norte,148,122,12000,28,2,0
2023-08-01,P009,Pantalon Jean 32,Textil,Norte,126,103,28000,24,1,0
2023-08-01,P010,Zapatilla Running,Textil,Sur,95,72,45000,24,1,0
2023-09-01,P001,Laptop ProBook,Electronica,Norte,5,0,450000,8,50,3
2023-09-01,P002,Monitor 24",Electronica,Norte,5,0,180000,8,50,3
2023-09-01,P003,Teclado Inalambrico,Electronica,Centro,28,5,35000,25,1,0
2023-09-01,P004,Mouse Optico,Electronica,Centro,62,28,18000,36,2,0
2023-09-01,P005,Arroz Grano Largo,Alimentos,Sur,158,112,1200,50,4,0
2023-09-01,P006,Aceite Vegetal 1L,Alimentos,Sur,65,38,2800,30,3,0
2023-09-01,P007,Harina Sin Polvos,Alimentos,Centro,150,118,1500,34,2,0
2023-09-01,P008,Polera Algodon M,Textil,Norte,122,98,12000,26,2,0
2023-09-01,P009,Pantalon Jean 32,Textil,Norte,103,80,28000,24,1,0
2023-09-01,P010,Zapatilla Running,Textil,Sur,72,50,45000,23,1,0
2023-10-01,P001,Laptop ProBook,Electronica,Norte,42,20,450000,25,3,0
2023-10-01,P002,Monitor 24",Electronica,Norte,42,22,180000,22,2,0
2023-10-01,P003,Teclado Inalambrico,Electronica,Centro,54,25,35000,30,1,0
2023-10-01,P004,Mouse Optico,Electronica,Centro,78,42,18000,38,2,0
2023-10-01,P005,Arroz Grano Largo,Alimentos,Sur,160,112,1200,52,4,0
2023-10-01,P006,Aceite Vegetal 1L,Alimentos,Sur,88,58,2800,32,2,0
2023-10-01,P007,Harina Sin Polvos,Alimentos,Centro,168,135,1500,35,2,0
2023-10-01,P008,Polera Algodon M,Textil,Norte,148,122,12000,28,2,0
2023-10-01,P009,Pantalon Jean 32,Textil,Norte,130,108,28000,23,1,0
2023-10-01,P010,Zapatilla Running,Textil,Sur,100,78,45000,23,1,0
2023-11-01,P001,Laptop ProBook,Electronica,Norte,20,2,450000,20,2,0
2023-11-01,P002,Monitor 24",Electronica,Norte,22,5,180000,19,2,0
2023-11-01,P003,Teclado Inalambrico,Electronica,Centro,25,0,35000,27,50,2
2023-11-01,P004,Mouse Optico,Electronica,Centro,42,10,18000,34,2,0
2023-11-01,P005,Arroz Grano Largo,Alimentos,Sur,112,68,1200,48,4,0
2023-11-01,P006,Aceite Vegetal 1L,Alimentos,Sur,58,30,2800,30,2,0
2023-11-01,P007,Harina Sin Polvos,Alimentos,Centro,135,102,1500,35,2,0
2023-11-01,P008,Polera Algodon M,Textil,Norte,122,95,12000,29,2,0
2023-11-01,P009,Pantalon Jean 32,Textil,Norte,108,85,28000,24,1,0
2023-11-01,P010,Zapatilla Running,Textil,Sur,78,55,45000,24,1,0
2023-12-01,P001,Laptop ProBook,Electronica,Norte,2,0,450000,5,100,1
2023-12-01,P002,Monitor 24",Electronica,Norte,5,0,180000,8,100,3
2023-12-01,P003,Teclado Inalambrico,Electronica,Centro,22,0,35000,24,100,2
2023-12-01,P004,Mouse Optico,Electronica,Centro,10,0,18000,12,100,2
2023-12-01,P005,Arroz Grano Largo,Alimentos,Sur,68,25,1200,48,100,5
2023-12-01,P006,Aceite Vegetal 1L,Alimentos,Sur,30,5,2800,28,100,3
2023-12-01,P007,Harina Sin Polvos,Alimentos,Centro,102,65,1500,42,100,5
2023-12-01,P008,Polera Algodon M,Textil,Norte,95,55,12000,45,100,5
2023-12-01,P009,Pantalon Jean 32,Textil,Norte,85,45,28000,45,100,5
2023-12-01,P010,Zapatilla Running,Textil,Sur,55,20,45000,40,100,5
2023-07-01,P001,Laptop ProBook,Electronica,Norte,48,25,450000,26,3,0
2023-11-01,P005,Arroz Grano Largo,Alimentos,Sur,112,68,1200,48,4,0
,P011,Producto Sin Fecha,Electronica,Centro,100,80,50000,20,0,0
2023-05-15,P012,,Textil,,150,120,15000,30,0,0
2023-08-10,P013,Producto Negativo,Alimentos,Norte,-50,80,2000,30,10,0
2023-10-20,P001,Laptop ProBook,Electronica,Norte,999999,999800,450000,200,1,0
