fecha,producto_id,producto_nombre,categoria,region_bodega,inventario_inicial,inventario_final,costo_unitario,unidades_vendidas,unidades_compradas,unidades_devueltas,comprobacion_inventario,inventario_promedio,inventario_promedio_valorizado,costo_ventas
2023-04-01,P001,Laptop ProBook,Electronica,Norte,50,28,450000,24,2,0,28,39.0,17550000.0,10800000
2023-04-01,P002,"Monitor 24""",Electronica,Norte,32,18,180000,16,2,0,18,25.0,4500000.0,2880000
2023-04-01,P003,Teclado Inalambrico,Electronica,Centro,108,80,35000,30,2,0,80,94.0,3290000.0,1050000
2023-04-01,P004,Mouse Optico,Electronica,Centro,230,192,18000,40,2,0,192,211.0,3798000.0,720000
2023-04-01,P005,Arroz Grano Largo,Alimentos,Sur,348,300,1200,55,7,0,300,324.0,388800.0,66000
2023-04-01,P006,Aceite Vegetal 1L,Alimentos,Sur,202,170,2800,36,4,0,170,186.0,520800.0,100800
2023-04-01,P007,Harina Sin Polvos,Alimentos,Centro,295,262,1500,38,5,0,262,278.5,417750.0,57000
2023-04-01,P008,Polera Algodon M,Textil,Norte,172,148,12000,26,2,0,148,160.0,1920000.0,312000
2023-04-01,P009,Pantalon Jean 32,Textil,Norte,112,90,28000,23,1,0,90,101.0,2828000.0,644000
2023-04-01,P010,Zapatilla Running,Textil,Sur,82,60,45000,23,1,0,60,71.0,3195000.0,1035000
2023-05-01,P001,Laptop ProBook,Electronica,Norte,28,8,450000,22,2,0,8,18.0,8100000.0,9900000
2023-05-01,P002,"Monitor 24""",Electronica,Norte,18,5,180000,15,2,0,5,11.5,2070000.0,2700000
2023-05-01,P003,Teclado Inalambrico,Electronica,Centro,80,52,35000,30,2,0,52,66.0,2310000.0,1050000
2023-05-01,P004,Mouse Optico,Electronica,Centro,192,155,18000,39,2,0,155,173.5,3123000.0,702000
2023-05-01,P005,Arroz Grano Largo,Alimentos,Sur,300,252,1200,55,7,0,252,276.0,331200.0,66000
2023-05-01,P006,Aceite Vegetal 1L,Alimentos,Sur,170,138,2800,35,3,0,138,154.0,431200.0,98000
2023-05-01,P007,Harina Sin Polvos,Alimentos,Centro,262,230,1500,36,4,0,230,246.0,369000.0,54000
2023-05-01,P008,Polera Algodon M,Textil,Norte,148,125,12000,25,2,0,125,136.5,1638000.0,300000
2023-05-01,P009,Pantalon Jean 32,Textil,Norte,90,70,28000,21,1,0,70,80.0,2240000.0,588000
2023-05-01,P010,Zapatilla Running,Textil,Sur,60,40,45000,21,1,0,40,50.0,2250000.0,945000
2023-06-01,P001,Laptop ProBook,Electronica,Norte,8,0,450000,10,50,2,50,4.0,1800000.0,4500000
2023-06-01,P002,"Monitor 24""",Electronica,Norte,5,0,180000,8,50,3,50,2.5,450000.0,1440000
2023-06-01,P003,Teclado Inalambrico,Electronica,Centro,52,25,35000,28,50,1,75,38.5,1347500.0,980000
2023-06-01,P004,Mouse Optico,Electronica,Centro,155,120,18000,36,50,1,170,137.5,2475000.0,648000
2023-06-01,P005,Arroz Grano Largo,Alimentos,Sur,252,205,1200,52,100,5,305,228.5,274200.0,62400
2023-06-01,P006,Aceite Vegetal 1L,Alimentos,Sur,138,108,2800,33,50,3,158,123.0,344400.0,92400
2023-06-01,P007,Harina Sin Polvos,Alimentos,Centro,230,200,1500,35,50,5,250,215.0,322500.0,52500
2023-06-01,P008,Polera Algodon M,Textil,Norte,125,100,12000,27,100,2,200,112.5,1350000.0,324000
2023-06-01,P009,Pantalon Jean 32,Textil,Norte,70,50,28000,22,100,2,150,60.0,1680000.0,616000
2023-06-01,P010,Zapatilla Running,Textil,Sur,40,20,45000,22,100,2,120,30.0,1350000.0,990000
2023-07-01,P001,Laptop ProBook,Electronica,Norte,48,25,450000,26,3,0,25,36.5,16425000.0,11700000
2023-07-01,P002,"Monitor 24""",Electronica,Norte,42,22,180000,22,2,0,22,32.0,5760000.0,3960000
2023-07-01,P003,Teclado Inalambrico,Electronica,Centro,47,18,35000,30,1,0,18,32.5,1137500.0,1050000
2023-07-01,P004,Mouse Optico,Electronica,Centro,134,98,18000,38,2,0,98,116.0,2088000.0,684000
2023-07-01,P005,Arroz Grano Largo,Alimentos,Sur,253,205,1200,53,5,0,205,229.0,274800.0,63600
2023-07-01,P006,Aceite Vegetal 1L,Alimentos,Sur,125,95,2800,32,2,0,95,110.0,308000.0,89600
2023-07-01,P007,Harina Sin Polvos,Alimentos,Centro,215,182,1500,35,2,0,182,198.5,297750.0,52500
2023-07-01,P008,Polera Algodon M,Textil,Norte,173,148,12000,27,2,0,148,160.5,1926000.0,324000
2023-07-01,P009,Pantalon Jean 32,Textil,Norte,148,126,28000,23,1,0,126,137.0,3836000.0,644000
2023-07-01,P010,Zapatilla Running,Textil,Sur,118,95,45000,24,1,0,95,106.5,4792500.0,1080000
2023-08-01,P001,Laptop ProBook,Electronica,Norte,25,5,450000,22,2,0,5,15.0,6750000.0,9900000
2023-08-01,P002,"Monitor 24""",Electronica,Norte,22,5,180000,19,2,0,5,13.5,2430000.0,3420000
2023-08-01,P003,Teclado Inalambrico,Electronica,Centro,18,0,35000,20,50,2,50,9.0,315000.0,700000
2023-08-01,P004,Mouse Optico,Electronica,Centro,98,62,18000,38,2,0,62,80.0,1440000.0,684000
2023-08-01,P005,Arroz Grano Largo,Alimentos,Sur,205,158,1200,52,5,0,158,181.5,217800.0,62400
2023-08-01,P006,Aceite Vegetal 1L,Alimentos,Sur,95,65,2800,32,2,0,65,80.0,224000.0,89600
2023-08-01,P007,Harina Sin Polvos,Alimentos,Centro,182,150,1500,34,2,0,150,166.0,249000.0,51000
2023-08-01,P008,Polera Algodon M,Textil,Norte,148,122,12000,28,2,0,122,135.0,1620000.0,336000
2023-08-01,P009,Pantalon Jean 32,Textil,Norte,126,103,28000,24,1,0,103,114.5,3206000.0,672000
2023-08-01,P010,Zapatilla Running,Textil,Sur,95,72,45000,24,1,0,72,83.5,3757500.0,1080000
2023-09-01,P001,Laptop ProBook,Electronica,Norte,5,0,450000,8,50,3,50,2.5,1125000.0,3600000
2023-09-01,P002,"Monitor 24""",Electronica,Norte,5,0,180000,8,50,3,50,2.5,450000.0,1440000
2023-09-01,P003,Teclado Inalambrico,Electronica,Centro,28,5,35000,25,1,0,4,16.5,577500.0,875000
2023-09-01,P004,Mouse Optico,Electronica,Centro,62,28,18000,36,2,0,28,45.0,810000.0,648000
2023-09-01,P005,Arroz Grano Largo,Alimentos,Sur,158,112,1200,50,4,0,112,135.0,162000.0,60000
2023-09-01,P006,Aceite Vegetal 1L,Alimentos,Sur,65,38,2800,30,3,0,38,51.5,144200.0,84000
2023-09-01,P007,Harina Sin Polvos,Alimentos,Centro,150,118,1500,34,2,0,118,134.0,201000.0,51000
2023-09-01,P008,Polera Algodon M,Textil,Norte,122,98,12000,26,2,0,98,110.0,1320000.0,312000
2023-09-01,P009,Pantalon Jean 32,Textil,Norte,103,80,28000,24,1,0,80,91.5,2562000.0,672000
2023-09-01,P010,Zapatilla Running,Textil,Sur,72,50,45000,23,1,0,50,61.0,2745000.0,1035000
2023-10-01,P001,Laptop ProBook,Electronica,Norte,42,20,450000,25,3,0,20,31.0,13950000.0,11250000
2023-10-01,P002,"Monitor 24""",Electronica,Norte,42,22,180000,22,2,0,22,32.0,5760000.0,3960000
2023-10-01,P003,Teclado Inalambrico,Electronica,Centro,54,25,35000,30,1,0,25,39.5,1382500.0,1050000
2023-10-01,P004,Mouse Optico,Electronica,Centro,78,42,18000,38,2,0,42,60.0,1080000.0,684000
2023-10-01,P005,Arroz Grano Largo,Alimentos,Sur,160,112,1200,52,4,0,112,136.0,163200.0,62400
2023-10-01,P006,Aceite Vegetal 1L,Alimentos,Sur,88,58,2800,32,2,0,58,73.0,204400.0,89600
2023-10-01,P007,Harina Sin Polvos,Alimentos,Centro,168,135,1500,35,2,0,135,151.5,227250.0,52500
2023-10-01,P008,Polera Algodon M,Textil,Norte,148,122,12000,28,2,0,122,135.0,1620000.0,336000
2023-10-01,P009,Pantalon Jean 32,Textil,Norte,130,108,28000,23,1,0,108,119.0,3332000.0,644000
2023-10-01,P010,Zapatilla Running,Textil,Sur,100,78,45000,23,1,0,78,89.0,4005000.0,1035000
2023-11-01,P001,Laptop ProBook,Electronica,Norte,20,2,450000,20,2,0,2,11.0,4950000.0,9000000
2023-11-01,P002,"Monitor 24""",Electronica,Norte,22,5,180000,19,2,0,5,13.5,2430000.0,3420000
2023-11-01,P003,Teclado Inalambrico,Electronica,Centro,25,0,35000,27,50,2,50,12.5,437500.0,945000
2023-11-01,P004,Mouse Optico,Electronica,Centro,42,10,18000,34,2,0,10,26.0,468000.0,612000
2023-11-01,P005,Arroz Grano Largo,Alimentos,Sur,112,68,1200,48,4,0,68,90.0,108000.0,57600
2023-11-01,P006,Aceite Vegetal 1L,Alimentos,Sur,58,30,2800,30,2,0,30,44.0,123200.0,84000
2023-11-01,P007,Harina Sin Polvos,Alimentos,Centro,135,102,1500,35,2,0,102,118.5,177750.0,52500
2023-11-01,P008,Polera Algodon M,Textil,Norte,122,95,12000,29,2,0,95,108.5,1302000.0,348000
2023-11-01,P009,Pantalon Jean 32,Textil,Norte,108,85,28000,24,1,0,85,96.5,2702000.0,672000
2023-11-01,P010,Zapatilla Running,Textil,Sur,78,55,45000,24,1,0,55,66.5,2992500.0,1080000
2023-12-01,P001,Laptop ProBook,Electronica,Norte,2,0,450000,5,100,1,98,1.0,450000.0,2250000
2023-12-01,P002,"Monitor 24""",Electronica,Norte,5,0,180000,8,100,3,100,2.5,450000.0,1440000
2023-12-01,P003,Teclado Inalambrico,Electronica,Centro,22,0,35000,24,100,2,100,11.0,385000.0,840000
2023-12-01,P004,Mouse Optico,Electronica,Centro,10,0,18000,12,100,2,100,5.0,90000.0,216000
2023-12-01,P005,Arroz Grano Largo,Alimentos,Sur,68,25,1200,48,100,5,125,46.5,55800.0,57600
2023-12-01,P006,Aceite Vegetal 1L,Alimentos,Sur,30,5,2800,28,100,3,105,17.5,49000.0,78400
2023-12-01,P007,Harina Sin Polvos,Alimentos,Centro,102,65,1500,42,100,5,165,83.5,125250.0,63000
2023-12-01,P008,Polera Algodon M,Textil,Norte,95,55,12000,45,100,5,155,75.0,900000.0,540000
2023-12-01,P009,Pantalon Jean 32,Textil,Norte,85,45,28000,45,100,5,145,65.0,1820000.0,1260000
2023-12-01,P010,Zapatilla Running,Textil,Sur,55,20,45000,40,100,5,120,37.5,1687500.0,1800000
