fecha,producto_id,producto_nombre,categoria,unidades_vendidas,precio_venta_unitario,monto_venta
2023-09-01,P005,Arroz Grano Largo,Alimentos,50,3246,162281
2023-09-01,P006,Aceite Vegetal 1L,Alimentos,30,3246,97368
2023-09-01,P007,Harina Sin Polvos,Alimentos,34,3246,110351
2023-09-01,P008,Polera Algodon M,Textil,26,7740,201233
2023-09-01,P009,Pantalon Jean 32,Textil,24,7740,185753
2023-09-01,P010,Zapatilla Running,Textil,23,7740,178014
2023-10-01,P001,Laptop ProBook,Electronica,25,23478,586957
2023-10-01,P002,Monitor 24 pulgadas,Electronica,22,23478,516522
2023-10-01,P003,Teclado Inalambrico,Electronica,30,23478,704348
2023-10-01,P004,Mouse Optico,Electronica,38,23478,892174
2023-10-01,P005,Arroz Grano Largo,Alimentos,52,3866,201008
2023-10-01,P006,Aceite Vegetal 1L,Alimentos,32,3866,123697
2023-10-01,P007,Harina Sin Polvos,Alimentos,35,3866,135294
2023-10-01,P008,Polera Algodon M,Textil,28,13122,367405
2023-10-01,P009,Pantalon Jean 32,Textil,23,13122,301797
2023-10-01,P010,Zapatilla Running,Textil,23,13122,301797
2023-11-01,P001,Laptop ProBook,Electronica,20,27300,546000
2023-11-01,P002,Monitor 24 pulgadas,Electronica,19,27300,518700
2023-11-01,P003,Teclado Inalambrico,Electronica,27,27300,737100
2023-11-01,P004,Mouse Optico,Electronica,34,27300,928200
2023-11-01,P005,Arroz Grano Largo,Alimentos,48,3239,155469
2023-11-01,P006,Aceite Vegetal 1L,Alimentos,30,3239,97168
2023-11-01,P007,Harina Sin Polvos,Alimentos,35,3239,113363
2023-11-01,P008,Polera Algodon M,Textil,29,14740,427468
2023-11-01,P009,Pantalon Jean 32,Textil,24,14740,353766
2023-11-01,P010,Zapatilla Running,Textil,24,14740,353766
2023-12-01,P001,Laptop ProBook,Electronica,5,56122,280612
2023-12-01,P002,Monitor 24 pulgadas,Electronica,8,56122,448980
2023-12-01,P003,Teclado Inalambrico,Electronica,24,56122,1346939
2023-12-01,P004,Mouse Optico,Electronica,12,56122,673469
2023-12-01,P005,Arroz Grano Largo,Alimentos,48,4780,229424
2023-12-01,P006,Aceite Vegetal 1L,Alimentos,28,4780,133831
2023-12-01,P007,Harina Sin Polvos,Alimentos,42,4780,200746
2023-12-01,P008,Polera Algodon M,Textil,45,10769,484615
2023-12-01,P009,Pantalon Jean 32,Textil,45,10769,484615
2023-12-01,P010,Zapatilla Running,Textil,40,10769,430769
